dist	yogyakarta	klaten	boyolali	solo	salatiga	magelang	ambarawa	semarang	kulon progo	purworejo	kebumen	gombong	banyumas	purwokerto	purbalingga	temanggung
yogyakarta	9999999	28.48	40.5	57.41	57.2	40.46	60.76	90.55	24.17	40.46	79.98	135.33	127.69	130.29	119.75	57.98
klaten	28.48	9999999	20.57	29.22	46.24	49.65	53.97	81.58	52.27	65.43	104.83	154.18	150.19	152.66	141.17	63.55
boyolali	40.5	20.57	9999999	25.36	26.64	41.68	35.51	61.54	61.84	67.98	105.08	146.96	146.56	148.83	136.58	50.97
solo	57.41	29.22	25.36	9999999	46.15	67.03	56.27	76..36	81.17	91.22	129.43	75.81	171.82	174.11	161.9	75.55
salatiga	57.2	46.24	26.64	46.15	9999999	34.86	10.19	35.41	72.35	69.67	100.53	119.88	135.37	137.75	124.47	33.98
magelang	40.46	49.65	41.68	67.03	34.86	9999999	31.27	57.79	44.46	35.63	66.22	105.67	105.03	107.26	94.92	17.67
ambarawa	60.76	53.97	35.51	56.27	10.19	31.27	9999999	29.79	72.86	66.91	94.76	122.09	127.23	129.11	116.13	25.85
semarang	90.55	81.58	61.54	76..36	35.41	57.79	29.79	9999999	101.52	92.41	113.54	125.92	136.93	138.33	125.27	45.05
kulon progo	24.17	52.27	61.84	81.17	72.35	44.46	72.86	101.52	9999999	23.18	59.49	119.85	108.71	111.42	102.04	61.07
purworejo	40.46	65.43	67.98	91.22	69.67	35.63	66.91	92.41	23.18	9999999	39.66	96.96	87.39	90.02	79.91	48.05
kebumen	79.98	104.83	105.08	129.43	100.53	66.22	94.76	113.54	59.49	39.66	9999999	66.15	49.58	52.33	44.46	70.03
gombong	135.33	154.18	146.96	75.81	119.88	105.67	122.09	125.92	119.85	96.96	66.15	9999999	27.12	25.81	22.59	97.73
banyumas	127.69	150.19	146.56	171.82	135.37	105.03	127.23	136.93	108.71	87.39	49.58	27.12	9999999	2.77	11.72	101.51
purwokerto	130.29	152.66	148.83	174.11	137.75	107.26	129.11	138.33	111.42	90.02	52.33	25.81	2.77	9999999	13.11	103.44
purbalingga	119.75	141.17	136.58	161.9	124.47	94.92	116.13	125.27	102.04	79.91	44.46	22.59	11.72	13.11	9999999	90.52
temanggung	57.98	63.55	50.97	75.55	33.98	17.67	25.85	45.05	61.07	48.05	70.03	97.73	101.51	103.44	90.52	9999999
