dist	yogyakarta	klaten	boyolali	solo	salatiga	magelang	ambarawa	semarang	kulon progo	purworejo	kebumen	gombong	banyumas	purwokerto	purbalingga	temanggung
yogyakarta	9999	39.9	9999	9999	9999	44	9999	9999	28	9999	9999	9999	9999	9999	9999	9999
klaten	39.9	9999	24.8	25.1	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999
boyolali	9999	24.8	9999	29.1	24.4	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999
solo	9999	25.1	29.1	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999
salatiga	9999	9999	24.4	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999
magelang	44	9999	9999	9999	9999	9999	37.9	9999	9999	43.6	9999	9999	9999	9999	9999	33.9
ambarawa	9999	9999	9999	9999	9999	37.9	9999	40.8	9999	9999	9999	9999	9999	9999	9999	9999
semarang	9999	9999	9999	9999	9999	9999	40.8	9999	9999	9999	9999	9999	9999	9999	9999	9999
kulon progo	28	9999	9999	9999	9999	9999	9999	9999	9999	44.1	9999	9999	9999	9999	9999	9999
purworejo	9999	9999	9999	9999	9999	43.6	9999	9999	44.1	9999	43.7	9999	9999	9999	9999	9999
kebumen	9999	9999	9999	9999	9999	9999	9999	9999	9999	43.7	9999	21.5	9999	9999	9999	9999
gombong	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	21.5	9999	35.4	9999	9999	9999
banyumas	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	35.4	9999	24.4	9999	9999
purwokerto	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	24.4	9999	18.6	9999
purbalingga	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	18.6	9999	100
temanggung	9999	9999	9999	9999	9999	33.9	9999	9999	9999	9999	9999	9999	9999	9999	100	9999
